h3id,time,NO2,NO
89a8100ea3bffff,2019-04-21 00:00:00,44.14893617021277,22.4
89a8100ea3bffff,2019-04-21 01:00:00,,
89a8100ea3bffff,2019-04-21 02:00:00,37.765957446808514,9.6
89a8100ea3bffff,2019-04-21 03:00:00,36.70212765957447,16.8
89a8100ea3bffff,2019-04-21 04:00:00,32.4468085106383,8.8
89a8100ea3bffff,2019-04-21 05:00:00,15.425531914893618,0.0
89a8100ea3bffff,2019-04-21 06:00:00,27.659574468085108,16.0
89a8100ea3bffff,2019-04-21 07:00:00,29.787234042553195,25.6
89a8100ea3bffff,2019-04-21 08:00:00,26.595744680851066,17.6
89a8100ea3bffff,2019-04-21 09:00:00,18.085106382978726,8.0
89a8100ea3bffff,2019-04-21 10:00:00,15.957446808510639,4.0
89a8100ea3bffff,2019-04-21 11:00:00,13.297872340425533,1.6
89a8100ea3bffff,2019-04-21 12:00:00,7.9787234042553195,3.2
89a8100ea3bffff,2019-04-21 13:00:00,5.851063829787234,2.4
89a8100ea3bffff,2019-04-21 14:00:00,6.382978723404256,2.4
89a8100ea3bffff,2019-04-21 15:00:00,7.9787234042553195,3.2
89a8100ea3bffff,2019-04-21 16:00:00,9.574468085106384,2.4
89a8100ea3bffff,2019-04-21 17:00:00,8.51063829787234,2.4
89a8100ea3bffff,2019-04-21 18:00:00,4.787234042553192,0.0
89a8100ea3bffff,2019-04-21 19:00:00,6.914893617021277,0.0
89a8100ea3bffff,2019-04-21 20:00:00,17.5531914893617,0.0
89a8100ea3bffff,2019-04-21 21:00:00,17.02127659574468,0.0
89a8100ea3bffff,2019-04-21 22:00:00,16.48936170212766,0.0
89a8100ea3bffff,2019-04-21 23:00:00,24.46808510638298,5.6
89a8100ea3bffff,2019-04-22 00:00:00,29.25531914893617,2.4
89a8100ea3bffff,2019-04-22 01:00:00,,
89a8100ea3bffff,2019-04-22 02:00:00,29.25531914893617,3.2
89a8100ea3bffff,2019-04-22 03:00:00,27.127659574468087,1.6
89a8100ea3bffff,2019-04-22 04:00:00,23.93617021276596,2.4
89a8100ea3bffff,2019-04-22 05:00:00,15.425531914893618,2.4
89a8100ea3bffff,2019-04-22 06:00:00,15.425531914893618,0.0
89a8100ea3bffff,2019-04-22 07:00:00,23.93617021276596,3.2
89a8100ea3bffff,2019-04-22 08:00:00,23.404255319148938,4.0
89a8100ea3bffff,2019-04-22 09:00:00,26.595744680851066,9.6
89a8100ea3bffff,2019-04-22 10:00:00,32.4468085106383,19.2
89a8100ea3bffff,2019-04-22 11:00:00,30.319148936170215,4.0
89a8100ea3bffff,2019-04-22 12:00:00,31.914893617021278,4.0
89a8100ea3bffff,2019-04-22 13:00:00,30.319148936170215,4.0
89a8100ea3bffff,2019-04-22 14:00:00,19.148936170212767,1.6
89a8100ea3bffff,2019-04-22 15:00:00,14.361702127659575,0.0
89a8100ea3bffff,2019-04-22 16:00:00,14.893617021276597,0.0
89a8100ea3bffff,2019-04-22 17:00:00,12.765957446808512,0.0
89a8100ea3bffff,2019-04-22 18:00:00,15.425531914893618,1.6
